"name","business_id","rating","avg_location_label","avg_service_label","avg_price"
"Detroit Coney Grill","gEAB85-Zcm8Qs5JQPC_PHg",4.7269,0.9429,0.7647058824,0.756756757
"Taqueria Los Yaquis","_CIodPGuvPP2khYkDk1jKw",4.4762,0.0000,0.3333333333,0.913043478
"Chick-fil-A","DAIBZ-I6i5wEUsxEolzXBA",4.4545,1.0000,1,0
"Pita Di Vita","ukTwFX4wQW4FbQbnWI9aJg",4.3704,0.8333,0.5,0.473684211
"Luu's Chicken Bowl","iPxUYvC8tgt5rBr-IZlSeg",4.3167,0.7500,1,0.464285714
"Restaurant Atoyac Estilo Oaxaca","C9JmR3jZfGnW6xbPMCT3aQ",4.3103,0.2000,0.5,1
"In-N-Out Burger","eZyqa81qS0LuH0Bv8vfvrw",4.28,1.0000,0.7142857143,1
"In-N-Out Burger","WAqACt7FfSFcJs-gqysIlQ",4.28,1.0000,0,1
"Chipotle Mexican Grill","DScAYRPPKaqt1NBkCbibHg",4.2333,0.5000,0.8,1
"In-N-Out Burger","2voFtcyopB3jJHepouMWDQ",4.225,1.0000,0,1
"Chick-fil-A","ihMUU9D2mcgrp7fi8lmqJg",4.2162,1.0000,1,0.166666667
"MOD Pizza","lp-J_cO5owuMzGJqdn3PNg",4.2059,0.0000,0,1
"Chick-Fil-A","j-_jKQ-5IE4hqQzA-hsApw",4.1636,1.0000,0.5,1
"Firehouse Subs","yTFdhqH9eLzaP05xXQa2rw",4.1563,1.0000,0.6,0.333333333
"Freddy's Frozen Custard & Steakburgers","cRwNwAGQ8Pc_-orLefrwRw",4.1552,0.8000,0.25,0
"In-N-Out Burger","X6mWr96ibKdXQSA6mpH90g",4.1493,0.8333,1,1
"Chick-Fil-A","MpMkOGrzCEGrO0-8yoib2w",4.1481,0.5000,1,0.4
"Portillo's Hot Dogs","5fu41tfqTU_LONb95t1Dkg",4.1478,0.5849,0.4444444444,1
"In-N-Out Burger","yyahaWDdm1Hes99IZkSJPg",4.0811,0.9000,0.8571428571,0.777777778
"Goodcents Subs & Pastas","ff_QnODW0vqNWZPSTVQTsQ",4.0769,1.0000,1,1
"Chick-Fil-A","5nddZwZzT7pvC5vBjKRzoA",4.0625,0.8333,1,1
"Firehouse Subs","Pectv4bzzUVs0FQ6HQjW8g",4.0488,1.0000,0,0
"In-N-Out Burger","WjT_DJivd3I98FxDgEZpTQ",4.037,1.0000,1,1
"In-N-Out Burger","byFWmwlVSmUj-AmM6NZYvw",4.0328,0.9000,0.6,0
"In-N-Out Burger","g9jX2oXQr8zrOQgynYnYjQ",4.0093,0.9091,0.7272727273,0.785714286
"Firehouse Subs","n-iA7O3vKAgCMk3Caf2Syw",4,0.8750,0.8,1
"Chipotle Mexican Grill","-p-9eBYvts8tcalo5IWOKw",3.9815,0.8000,0.3333333333,0
"Chipotle Mexican Grill","6TWRuHn24DL6vnW8Uyu4Vw",3.98,1.0000,0.2,0
"In-N-Out Burger","EzwpoKQrHgDHwpuCUw074Q",3.9512,0.7500,0.3333333333,0
"Culver's","Y_Y91oeUrIwYa18F8ey5NQ",3.9406,0.7692,0.5833333333,0.8125
"Chipotle Mexican Grill","R2IWbpUgJQ3NRRjKQy6O_Q",3.8889,1.0000,1,1
"Chick-Fil-A","cWBqZThx4RWNzPJbJ_oXOg",3.8889,0.6667,1,0
"Culver's","cXykQLP4Sr3tNii8k-zckg",3.8889,0.8333,0.6,0
"Chipotle Mexican Grill","QJ4iodv1xkUYBSZ9y1MWVg",3.8696,1.0000,0,1
"Chick-Fil-A","Me6hKl5pjH2KCuxLZm6pzQ",3.8649,0.8750,0.3333333333,1
"Whataburger","6pd0Z40VifMh6ETJrOw_0g",3.8571,1.0000,0,0
"Chick-Fil-A","aCwCa7QMycZInFChAGU9pQ",3.84,0.7500,1,1
"Chick-Fil-A","XiCnbGY6R92Ji7r38jceZA",3.8222,0.8000,0.6666666667,1
"Potbelly Sandwich Shop","tYlwIZWPEQFvU9avTaIv3w",3.8148,1.0000,1,0.846153846
"Louisiana Fried Chicken","M6SQ1dITqcuj-sAvg8_ITg",3.8148,1.0000,0.8333333333,1
"Chipotle","Cv4kZH9zN0wpN2Drn0qkLg",3.8077,0.5000,0.7142857143,0.5
"Chipotle Mexican Grill","JGTPb06Ix_v7uq3HADzq8w",3.7941,0.6667,0,0.75
"Jersey Mike's Subs","ivVVCPUm9mmU6K7xR41vEg",3.7931,0.5000,0.625,0.5
"Jersey Mike's Subs","iAe55bO88EwBiPL2GhwBew",3.7647,1.0000,0,0.333333333
"Firehouse Subs","638KbE3REls3O3bbOPLnUA",3.76,0.0000,0.3333333333,0.75
"In-N-Out Burger","LSElCCmJQNJDpIEf77NVpA",3.7586,1.0000,0,0.714285714
"Jersey Mike's Subs","78dfzUUVUeFpcYKqvs_X1w",3.7308,1.0000,0.6666666667,1
"Julioberto's","mTc8M-drs2HSG8paNUTTQg",3.7273,1.0000,0,0
"Five Guys Burgers and Fries","jqZKv-7F54guDLalXEjHxg",3.7262,1.0000,0,0.238095238
"In-N-Out Burger","LaRo1F0bOEZo4p11bfkshA",3.7241,1.0000,0.6666666667,0
"Five Guys Burgers and Fries","yqTromUJgF6Ll7VVo4iF0A",3.7234,0.3333,1,0.384615385
"Chipotle Mexican Grill","Zw4CvOwXJj1QA85SvB99Hw",3.6977,0.7500,0.5,1
"Senor Taco","6SWknDhTfrw3NyywMCyZJg",3.6905,0.8571,0.5,1
"TOGO'S Sandwiches","T93h3F_Mq8bdEWBEujsEcQ",3.6667,1.0000,1,1
"Chipotle Mexican Grill","WcGTSRku3mrVK7V9GKq4UQ",3.6667,1.0000,1,1
"Federico's Mexican Food","rB1CNenQbYtQ0D6sqoJe3A",3.6667,1.0000,0,0
"The Codfather","58P3oSd8P2QNzHrQmRqQZw",3.6579,0.7500,0.3333333333,0.666666667
"Chick Fil-A","LFOfaMvC6g7huKW5e35nsQ",3.6538,0.7500,0.8571428571,0.166666667
"Five Guys Burgers and Fries","VsrvWdZL2993olnW3z8R3A",3.6476,0.6250,0.4285714286,0.35
"Five Guys Burgers and Fries","XmDiFI8SuougNUi02ZCdwA",3.6471,1.0000,0.75,0.117647059
"Raising Cane's","2s5tyNvj6-eEks5cNFZQMg",3.641,1.0000,0.75,1
"Chipotle Mexican Grill","obkBJENTOXC3YpS_VWiPyw",3.64,1.0000,0.4,0.4
"Jersey Mike's Subs","ZlvVCqFKTMK4rBkTQzVBpA",3.6296,0.7500,0.6666666667,1
"Whataburger","YSOaPUm5EORusVSPB6_Zag",3.619,1.0000,0.6,1
"Popeyes","D0tHnskAgaRjCBdoXVev_g",3.619,1.0000,0,0
"Five Guys Burgers and Fries","A7Soqlerr3L8mNq3YuIqAA",3.6,0.8000,0.4444444444,0.258064516
"Five Guys Burgers and Fries","8SvCSiGwtaGL2Z78tRSSlQ",3.5789,0.0000,0.5,0.352941176
"Culver's","l9Xqi_FUukoExs7nBa422w",3.55,1.0000,0.5,0
"Ichi Bowl","mM4JGpza3KkegHYUN7T79w",3.5484,0.6667,0.8,1
"Raising Cane's","JbJDlfcnYiyZRXeHQcAVjg",3.4651,1.0000,0.3333333333,0.538461538
"Chipotle Mexican Grill","fJ5raoVcN-nD8vFswMFXzQ",3.4545,0.5000,0.75,0
"Al's Beef","m3EKlucZuwnOazLrRfnWaQ",3.4384,0.7500,0.125,1
"Five Guys Burgers and Fries","jvvh4Q00Hq2XyIcfmAAT2A",3.4355,0.4000,0.25,0.823529412
"Chipotle Mexican Grill","5qElnvC0danGy0io0-NRKw",3.4255,0.8667,1,0
"Culver's","ykKSshfa9ANCZCuvM2LaWg",3.4124,0.6667,0.6,0
"Chipotle Mexican Grill","jCldB0wUJU9A_ti45vZ0bg",3.4091,0.6667,0.6666666667,1
"Five Guys Burgers and Fries","ahKN6wh6z2vZsd8C7AyG5A",3.3068,0.5455,0.3333333333,0.470588235
"Chipotle Mexican Grill","hP3hxJBx1GdCfF4RVhqbAg",3.2727,1.0000,0.4,0.5
"Five Guys Burgers and Fries","JRFm4zOkJW2L0m4TsXBJ_w",3.2667,1.0000,0,0.125
"Firehouse Subs","tONuJUMGL394lS3MM0UmzQ",3.25,0.7500,0.3333333333,0.2
"Pei Wei","pAu8UuWTLTLai61TW8-tZw",3.2143,1.0000,0.1111111111,0.545454545
"Culver's","KECPmpLZxwroxLeUy9TDoA",3.2121,0.5000,0.4,0
"Pei Wei","9UrMG4cn2nfIQsJlH8e2PQ",3.1739,0.5714,0.7,1
"Five Guys Burgers and Fries","qVN-P0aov4z5oknS12Cq1g",3.1625,0.4545,0.2857142857,0
"Chipotle Mexican Grill","X1jTnU6c9eloN2Bxs78uTg",3.1379,0.3333,0,0.5
"Chipotle Mexican Grill","RIP8nL2Gbiu0zb-nCgZnpw",3.1333,1.0000,0.4,0
"Sonic Drive-In","kIco4kv-FHT6QqdkDQ2cow",3.0455,1.0000,0.6666666667,0
"Yoshi's Restaurant","L19_1cG2ALVjdBQ456h26A",2.9524,0.8000,0.3333333333,0.769230769
"Fatburger","ZDXZGMpA4IhIqmMIMdeHlA",2.9268,0.7778,0,0
"Chipotle Mexican Grill","XA-mMT47rFZNEllPBCYWQQ",2.8511,0.2941,0.3333333333,0.5
"Qdoba Mexican Grill","M_GnuvRXvWBl3YNxH-GYFg",2.8421,0.0000,0.5,1
"Fatburger","wn7GiuOQ_0VrPXNc1wVTDA",2.8261,0.1250,0,0.2
"Wendy's","yyuy1kimJHK2RsizjvgUNQ",2.7143,1.0000,0.25,1
"Whataburger","2xczXFsc4GeilxL8B8R3Vg",2.6207,1.0000,0,1
